,State,Soil,Crop,Variety,Season,Available-N(kg/ha),Available-P(kg/ha),Available-K(kg/ha),Required-N(kg/ha),Required-P(kg/ha),Required-K(kg/ha),Yeild(q/ha)
26,Andhra Pradesh,1,Rice,Pothana,Kharif,200.0,15,200.0,101.0,66,76.0,50.0
27,Andhra Pradesh,1,Rice,Pothana,Kharif,200.0,15,200.0,139.0,86,106.0,60.0
28,Andhra Pradesh,1,Rice,Pothana,Kharif,225.0,20,250.0,90.0,55,58.0,50.0
29,Andhra Pradesh,1,Rice,Pothana,Kharif,225.0,20,250.0,128.0,75,88.0,60.0
30,Andhra Pradesh,1,Rice,Pothana,Kharif,250.0,25,300.0,79.0,45,40.0,50.0
31,Andhra Pradesh,1,Rice,Pothana,Kharif,250.0,25,300.0,114.0,65,70.0,60.0
32,Andhra Pradesh,1,Rice,Pothana,Kharif,275.0,30,350.0,68.0,34,22.0,50.0
33,Andhra Pradesh,1,Rice,Pothana,Kharif,275.0,30,350.0,106.0,54,52.0,60.0
34,Andhra Pradesh,1,Rice,Pothana,Kharif,300.0,35,400.0,57.0,23,4.0,50.0
35,Andhra Pradesh,1,Rice,Pothana,Kharif,300.0,35,400.0,95.0,44,34.0,60.0
36,Andhra Pradesh,1,Rice,Pothana,Kharif,325.0,40,450.0,46.0,13,2.0,50.0
37,Andhra Pradesh,1,Rice,Pothana,Kharif,325.0,40,450.0,84.0,33,16.0,60.0
38,Andhra Pradesh,1,Rice,Pothana,Kharif,350.0,45,500.0,35.0,12,2.0,50.0
39,Andhra Pradesh,1,Rice,Pothana,Kharif,350.0,45,500.0,73.0,23,15.0,60.0
40,Andhra Pradesh,1,Rice,Pothana,Kharif,375.0,50,550.0,24.0,12,2.0,50.0
41,Andhra Pradesh,1,Rice,Pothana,Kharif,375.0,50,550.0,62.0,12,15.0,60.0
42,Andhra Pradesh,1,Rice,Pothana,Kharif,400.0,55,600.0,13.0,12,2.0,50.0
43,Andhra Pradesh,1,Rice,Pothana,Kharif,400.0,55,600.0,51.0,2,15.0,60.0
44,Andhra Pradesh,2,Rice,MTU02067,Kharif,200.0,10,200.0,63.0,86,71.0,55.0
45,Andhra Pradesh,2,Rice,MTU02067,Kharif,200.0,10,200.0,74.0,96,82.0,60.0
46,Andhra Pradesh,2,Rice,MTU02067,Kharif,225.0,15,250.0,55.0,77,57.0,55.0
47,Andhra Pradesh,2,Rice,MTU02067,Kharif,225.0,15,250.0,66.0,86,69.0,60.0
48,Andhra Pradesh,2,Rice,MTU02067,Kharif,250.0,20,300.0,47.0,67,44.0,55.0
49,Andhra Pradesh,2,Rice,MTU02067,Kharif,250.0,20,300.0,58.0,77,55.0,60.0
50,Andhra Pradesh,2,Rice,MTU02067,Kharif,275.0,25,350.0,39.0,58,30.0,55.0
51,Andhra Pradesh,2,Rice,MTU02067,Kharif,275.0,25,350.0,50.0,67,42.0,60.0
52,Andhra Pradesh,2,Rice,MTU02067,Kharif,300.0,30,400.0,31.0,48,17.0,55.0
53,Andhra Pradesh,2,Rice,MTU02067,Kharif,300.0,30,400.0,42.0,58,28.0,60.0
54,Andhra Pradesh,2,Rice,MTU02067,Kharif,325.0,35,450.0,23.0,39,3.0,55.0
55,Andhra Pradesh,2,Rice,MTU02067,Kharif,325.0,35,450.0,34.0,48,15.0,60.0
56,Andhra Pradesh,2,Rice,MTU02067,Kharif,350.0,40,500.0,15.0,29,2.0,55.0
57,Andhra Pradesh,2,Rice,MTU02067,Kharif,350.0,40,500.0,26.0,39,15.0,60.0
58,Andhra Pradesh,2,Rice,MTU02067,Kharif,375.0,45,550.0,15.0,20,2.0,55.0
59,Andhra Pradesh,2,Rice,MTU02067,Kharif,375.0,45,550.0,18.0,29,15.0,60.0
60,Andhra Pradesh,2,Rice,MTU02067,Kharif,400.0,50,600.0,15.0,10,2.0,55.0
61,Andhra Pradesh,2,Rice,MTU02067,Kharif,400.0,50,600.0,10.0,20,15.0,60.0
62,Andhra Pradesh,2,Rice,MTU02067,Kharif,425.0,55,650.0,15.0,10,2.0,55.0
63,Andhra Pradesh,2,Rice,MTU02067,Kharif,425.0,55,650.0,2.0,10,15.0,60.0
64,Andhra Pradesh,2,Rice,MTU02067,Kharif,450.0,60,700.0,15.0,10,2.0,55.0
65,Andhra Pradesh,2,Rice,MTU02067,Kharif,450.0,60,700.0,2.0,10,15.0,60.0
66,Andhra Pradesh,0,Rice,MTU05182,Kharif,150.0,10,200.0,152.0,106,50.0,60.0
67,Andhra Pradesh,0,Rice,MTU05182,Kharif,150.0,10,200.0,185.0,131,63.0,70.0
68,Andhra Pradesh,0,Rice,MTU05182,Kharif,175.0,15,250.0,143.0,83,44.0,60.0
69,Andhra Pradesh,0,Rice,MTU05182,Kharif,175.0,15,250.0,177.0,108,57.0,70.0
70,Andhra Pradesh,0,Rice,MTU05182,Kharif,200.0,20,300.0,135.0,61,38.0,60.0
71,Andhra Pradesh,0,Rice,MTU05182,Kharif,200.0,20,300.0,169.0,86,51.0,70.0
72,Andhra Pradesh,0,Rice,MTU05182,Kharif,225.0,25,350.0,127.0,38,32.0,60.0
73,Andhra Pradesh,0,Rice,MTU05182,Kharif,225.0,25,350.0,160.0,63,45.0,70.0
74,Andhra Pradesh,0,Rice,MTU05182,Kharif,250.0,30,400.0,119.0,15,26.0,60.0
75,Andhra Pradesh,0,Rice,MTU05182,Kharif,250.0,30,400.0,152.0,41,39.0,70.0
76,Andhra Pradesh,0,Rice,MTU05182,Kharif,275.0,35,450.0,110.0,15,20.0,60.0
77,Andhra Pradesh,0,Rice,MTU05182,Kharif,275.0,35,450.0,144.0,18,33.0,70.0
78,Andhra Pradesh,0,Rice,MTU05182,Kharif,300.0,40,500.0,102.0,15,14.0,60.0
79,Andhra Pradesh,0,Rice,MTU05182,Kharif,300.0,40,500.0,136.0,15,27.0,70.0
80,Andhra Pradesh,0,Rice,MTU05182,Kharif,325.0,45,550.0,94.0,15,8.0,60.0
81,Andhra Pradesh,0,Rice,MTU05182,Kharif,325.0,45,550.0,127.0,15,21.0,70.0
82,Andhra Pradesh,0,Rice,MTU05182,Kharif,350.0,50,600.0,86.0,15,2.0,60.0
83,Andhra Pradesh,0,Rice,MTU05182,Kharif,350.0,50,600.0,119.0,15,15.0,70.0
84,Andhra Pradesh,0,Rice,MTU05182,Kharif,375.0,55,650.0,77.0,15,2.0,60.0
85,Andhra Pradesh,0,Rice,MTU05182,Kharif,375.0,55,650.0,111.0,15,15.0,70.0
86,Andhra Pradesh,3,Rice,NLR09672,Kharif,150.0,10,150.0,101.0,93,55.0,45.0
87,Andhra Pradesh,3,Rice,NLR09672,Kharif,150.0,10,150.0,118.0,105,65.0,50.0
88,Andhra Pradesh,3,Rice,NLR09672,Kharif,175.0,15,200.0,91.0,82,45.0,45.0
89,Andhra Pradesh,3,Rice,NLR09672,Kharif,175.0,15,200.0,109.0,95,55.0,50.0
90,Andhra Pradesh,3,Rice,NLR09672,Kharif,200.0,20,250.0,82.0,71,35.0,45.0
91,Andhra Pradesh,3,Rice,NLR09672,Kharif,200.0,20,250.0,100.0,84,45.0,50.0
92,Andhra Pradesh,3,Rice,NLR09672,Kharif,225.0,25,300.0,73.0,61,25.0,45.0
93,Andhra Pradesh,3,Rice,NLR09672,Kharif,225.0,25,300.0,90.0,74,35.0,50.0
94,Andhra Pradesh,3,Rice,NLR09672,Kharif,250.0,30,350.0,64.0,50,15.0,45.0
95,Andhra Pradesh,3,Rice,NLR09672,Kharif,250.0,30,350.0,81.0,63,25.0,50.0
96,Andhra Pradesh,3,Rice,NLR09672,Kharif,275.0,35,400.0,54.0,40,5.0,45.0
97,Andhra Pradesh,3,Rice,NLR09672,Kharif,275.0,35,400.0,72.0,52,15.0,50.0
98,Andhra Pradesh,3,Rice,NLR09672,Kharif,300.0,40,450.0,45.0,29,5.0,45.0
99,Andhra Pradesh,3,Rice,NLR09672,Kharif,300.0,40,450.0,63.0,42,5.0,50.0
100,Andhra Pradesh,3,Rice,NLR09672,Kharif,325.0,45,50.0,36.0,18,5.0,45.0
101,Andhra Pradesh,3,Rice,NLR09672,Kharif,325.0,45,50.0,53.0,31,5.0,50.0
102,Andhra Pradesh,3,Rice,NLR09672,Kharif,350.0,50,550.0,27.0,8,5.0,45.0
103,Andhra Pradesh,3,Rice,NLR09672,Kharif,350.0,50,550.0,44.0,20,5.0,50.0
104,Andhra Pradesh,4,Rice,Tellahamsa,Kharif,150.0,10,150.0,128.0,108,80.0,50.0
105,Andhra Pradesh,4,Rice,Tellahamsa,Kharif,150.0,10,150.0,149.0,122,91.0,55.0
106,Andhra Pradesh,4,Rice,Tellahamsa,Kharif,175.0,15,200.0,114.0,95,69.0,50.0
107,Andhra Pradesh,4,Rice,Tellahamsa,Kharif,175.0,15,200.0,135.0,108,80.0,55.0
108,Andhra Pradesh,4,Rice,Tellahamsa,Kharif,200.0,20,250.0,100.0,82,59.0,50.0
109,Andhra Pradesh,4,Rice,Tellahamsa,Kharif,200.0,20,250.0,121.0,94,70.0,55.0
110,Andhra Pradesh,4,Rice,Tellahamsa,Kharif,225.0,25,300.0,86.0,68,48.0,50.0
111,Andhra Pradesh,4,Rice,Tellahamsa,Kharif,225.0,25,300.0,108.0,81,59.0,55.0
112,Andhra Pradesh,4,Rice,Tellahamsa,Kharif,250.0,30,350.0,73.0,55,38.0,50.0
113,Andhra Pradesh,4,Rice,Tellahamsa,Kharif,250.0,30,350.0,94.0,67,49.0,55.0
114,Andhra Pradesh,4,Rice,Tellahamsa,Kharif,275.0,35,400.0,59.0,41,27.0,50.0
115,Andhra Pradesh,4,Rice,Tellahamsa,Kharif,275.0,35,400.0,80.0,53,38.0,55.0
116,Andhra Pradesh,4,Rice,Tellahamsa,Kharif,300.0,40,450.0,45.0,28,17.0,50.0
117,Andhra Pradesh,4,Rice,Tellahamsa,Kharif,300.0,40,450.0,66.0,39,28.0,55.0
118,Andhra Pradesh,4,Rice,Tellahamsa,Kharif,325.0,45,500.0,31.0,15,6.0,50.0
119,Andhra Pradesh,4,Rice,Tellahamsa,Kharif,325.0,45,500.0,53.0,26,17.0,55.0
120,Andhra Pradesh,4,Rice,Tellahamsa,Kharif,350.0,50,550.0,18.0,2,5.0,50.0
121,Andhra Pradesh,4,Rice,Tellahamsa,Kharif,350.0,50,550.0,39.0,12,7.0,55.0
122,Andhra Pradesh,4,Rice,Tellahamsa,Kharif,375.0,55,600.0,4.0,0,5.0,50.0
123,Andhra Pradesh,4,Rice,Tellahamsa,Kharif,375.0,55,600.0,25.0,10,7.0,55.0
124,Andhra Pradesh,4,Rice,Tellahamsa,Kharif,400.0,60,650.0,4.0,0,5.0,50.0
125,Andhra Pradesh,4,Rice,Tellahamsa,Kharif,400.0,60,650.0,12.0,10,7.0,55.0
126,Andhra Pradesh,0,Rice,Pothana,Kharif,150.0,10,150.0,125.0,96,77.0,50.0
127,Andhra Pradesh,0,Rice,Pothana,Kharif,150.0,10,150.0,149.0,109,87.0,55.0
128,Andhra Pradesh,0,Rice,Pothana,Kharif,175.0,15,200.0,106.0,75,70.0,50.0
129,Andhra Pradesh,0,Rice,Pothana,Kharif,175.0,15,200.0,130.0,88,79.0,55.0
130,Andhra Pradesh,0,Rice,Pothana,Kharif,200.0,20,250.0,88.0,54,62.0,50.0
131,Andhra Pradesh,0,Rice,Pothana,Kharif,200.0,20,250.0,111.0,67,72.0,55.0
132,Andhra Pradesh,0,Rice,Pothana,Kharif,225.0,25,300.0,69.0,33,55.0,50.0
133,Andhra Pradesh,0,Rice,Pothana,Kharif,225.0,25,300.0,93.0,46,64.0,55.0
134,Andhra Pradesh,0,Rice,Pothana,Kharif,250.0,30,350.0,50.0,12,48.0,50.0
135,Andhra Pradesh,0,Rice,Pothana,Kharif,250.0,30,350.0,74.0,25,57.0,55.0
136,Andhra Pradesh,0,Rice,Pothana,Kharif,275.0,35,400.0,31.0,10,40.0,50.0
137,Andhra Pradesh,0,Rice,Pothana,Kharif,275.0,35,400.0,55.0,4,49.0,55.0
138,Andhra Pradesh,0,Rice,Pothana,Kharif,300.0,40,450.0,12.0,10,33.0,50.0
139,Andhra Pradesh,0,Rice,Pothana,Kharif,300.0,40,450.0,36.0,2,42.0,55.0
140,Andhra Pradesh,0,Rice,Pothana,Kharif,325.0,45,500.0,10.0,10,25.0,50.0
141,Andhra Pradesh,0,Rice,Pothana,Kharif,325.0,45,500.0,17.0,2,34.0,55.0
142,Andhra Pradesh,0,Rice,Pothana,Kharif,350.0,50,550.0,10.0,10,18.0,50.0
143,Andhra Pradesh,0,Rice,Pothana,Kharif,350.0,50,550.0,15.0,2,27.0,55.0
144,Andhra Pradesh,0,Rice,Pothana,Kharif,375.0,55,600.0,10.0,10,10.0,50.0
145,Andhra Pradesh,0,Rice,Pothana,Kharif,375.0,55,600.0,15.0,2,19.0,55.0
146,Andhra Pradesh,0,Rice,Pothana,Kharif,400.0,60,650.0,10.0,10,3.0,50.0
147,Andhra Pradesh,0,Rice,Pothana,Kharif,400.0,60,650.0,15.0,2,12.0,55.0
148,Andhra Pradesh,0,Rice,Tellahamsa,Rabi,150.0,10,200.0,122.0,108,46.0,50.0
149,Andhra Pradesh,0,Rice,Tellahamsa,Rabi,150.0,10,200.0,150.0,131,60.0,55.0
150,Andhra Pradesh,0,Rice,Tellahamsa,Rabi,175.0,15,250.0,114.0,93,38.0,50.0
151,Andhra Pradesh,0,Rice,Tellahamsa,Rabi,175.0,15,250.0,142.0,116,51.0,55.0
152,Andhra Pradesh,0,Rice,Tellahamsa,Rabi,200.0,20,300.0,106.0,78,29.0,50.0
153,Andhra Pradesh,0,Rice,Tellahamsa,Rabi,200.0,20,300.0,134.0,101,43.0,55.0
154,Andhra Pradesh,0,Rice,Tellahamsa,Rabi,225.0,25,350.0,98.0,63,21.0,50.0
155,Andhra Pradesh,0,Rice,Tellahamsa,Rabi,225.0,25,350.0,126.0,86,34.0,55.0
156,Andhra Pradesh,0,Rice,Tellahamsa,Rabi,250.0,30,400.0,90.0,48,12.0,50.0
157,Andhra Pradesh,0,Rice,Tellahamsa,Rabi,250.0,30,400.0,118.0,71,26.0,55.0
158,Andhra Pradesh,0,Rice,Tellahamsa,Rabi,275.0,35,450.0,82.0,33,4.0,50.0
159,Andhra Pradesh,0,Rice,Tellahamsa,Rabi,275.0,35,450.0,110.0,56,17.0,55.0
160,Andhra Pradesh,0,Rice,Tellahamsa,Rabi,300.0,40,500.0,74.0,18,0.0,50.0
161,Andhra Pradesh,0,Rice,Tellahamsa,Rabi,300.0,40,500.0,102.0,41,8.0,55.0
162,Andhra Pradesh,0,Rice,Tellahamsa,Rabi,325.0,45,550.0,66.0,3,0.0,50.0
163,Andhra Pradesh,0,Rice,Tellahamsa,Rabi,325.0,45,550.0,94.0,26,0.0,55.0
164,Andhra Pradesh,0,Rice,Tellahamsa,Rabi,350.0,50,600.0,58.0,0,0.0,50.0
165,Andhra Pradesh,0,Rice,Tellahamsa,Rabi,350.0,50,600.0,86.0,11,0.0,55.0
166,Andhra Pradesh,5,Rice,NLR 33057,Rabi,150.0,10,150.0,127.0,75,74.0,45.0
167,Andhra Pradesh,5,Rice,NLR 33057,Rabi,150.0,10,150.0,150.0,85,86.0,50.0
168,Andhra Pradesh,5,Rice,NLR 33057,Rabi,175.0,15,200.0,115.0,65,64.0,45.0
169,Andhra Pradesh,5,Rice,NLR 33057,Rabi,175.0,15,200.0,137.0,75,76.0,50.0
170,Andhra Pradesh,5,Rice,NLR 33057,Rabi,200.0,20,250.0,102.0,54,53.0,45.0
171,Andhra Pradesh,5,Rice,NLR 33057,Rabi,200.0,20,250.0,125.0,65,65.0,50.0
172,Andhra Pradesh,5,Rice,NLR 33057,Rabi,225.0,25,300.0,89.0,44,43.0,45.0
173,Andhra Pradesh,5,Rice,NLR 33057,Rabi,225.0,25,300.0,112.0,55,55.0,50.0
174,Andhra Pradesh,5,Rice,NLR 33057,Rabi,250.0,30,350.0,76.0,34,32.0,45.0
175,Andhra Pradesh,5,Rice,NLR 33057,Rabi,250.0,30,350.0,99.0,44,44.0,50.0
176,Andhra Pradesh,5,Rice,NLR 33057,Rabi,275.0,35,400.0,64.0,23,22.0,45.0
177,Andhra Pradesh,5,Rice,NLR 33057,Rabi,275.0,35,400.0,86.0,34,34.0,50.0
178,Andhra Pradesh,5,Rice,NLR 33057,Rabi,300.0,40,450.0,51.0,13,12.0,45.0
179,Andhra Pradesh,5,Rice,NLR 33057,Rabi,300.0,40,450.0,74.0,24,23.0,50.0
180,Andhra Pradesh,5,Rice,NLR 33057,Rabi,325.0,45,50.0,38.0,3,2.0,45.0
181,Andhra Pradesh,5,Rice,NLR 33057,Rabi,325.0,45,50.0,61.0,13,13.0,50.0
182,Andhra Pradesh,5,Rice,NLR 33057,Rabi,350.0,50,550.0,25.0,2,2.0,45.0
183,Andhra Pradesh,5,Rice,NLR 33057,Rabi,350.0,50,550.0,48.0,3,2.0,50.0
184,Andhra Pradesh,5,Rice,NLR 33057,Rabi,375.0,55,600.0,12.0,2,2.0,45.0
185,Andhra Pradesh,5,Rice,NLR 33057,Rabi,375.0,55,600.0,35.0,2,2.0,50.0
186,Andhra Pradesh,5,Rice,NLR 33057,Rabi,400.0,60,650.0,12.0,2,2.0,45.0
187,Andhra Pradesh,5,Rice,NLR 33057,Rabi,400.0,60,650.0,35.0,2,2.0,50.0
188,Andhra Pradesh,2,Rice,IR064,Rabi,200.0,10,200.0,130.0,118,95.0,70.0
189,Andhra Pradesh,2,Rice,IR064,Rabi,200.0,10,200.0,156.0,138,115.0,80.0
190,Andhra Pradesh,2,Rice,IR064,Rabi,225.0,15,250.0,123.0,108,85.0,70.0
191,Andhra Pradesh,2,Rice,IR064,Rabi,225.0,15,250.0,149.0,128,101.0,80.0
192,Andhra Pradesh,2,Rice,IR064,Rabi,250.0,20,300.0,116.0,97,74.0,70.0
193,Andhra Pradesh,2,Rice,IR064,Rabi,250.0,20,300.0,142.0,117,94.0,80.0
194,Andhra Pradesh,2,Rice,IR064,Rabi,275.0,25,350.0,109.0,86,64.0,70.0
195,Andhra Pradesh,2,Rice,IR064,Rabi,275.0,25,350.0,135.0,106,85.0,80.0
196,Andhra Pradesh,2,Rice,IR064,Rabi,300.0,30,400.0,102.0,75,53.0,70.0
197,Andhra Pradesh,2,Rice,IR064,Rabi,300.0,30,400.0,128.0,95,75.0,80.0
198,Andhra Pradesh,2,Rice,IR064,Rabi,325.0,35,450.0,95.0,64,43.0,70.0
199,Andhra Pradesh,2,Rice,IR064,Rabi,325.0,35,450.0,121.0,84,66.0,80.0
200,Andhra Pradesh,2,Rice,IR064,Rabi,350.0,40,500.0,88.0,54,32.0,70.0
201,Andhra Pradesh,2,Rice,IR064,Rabi,350.0,40,500.0,114.0,74,56.0,80.0
202,Andhra Pradesh,2,Rice,IR064,Rabi,375.0,45,550.0,81.0,43,22.0,70.0
203,Andhra Pradesh,2,Rice,IR064,Rabi,375.0,45,550.0,107.0,63,47.0,80.0
204,Andhra Pradesh,2,Rice,IR064,Rabi,400.0,50,600.0,74.0,32,11.0,70.0
205,Andhra Pradesh,2,Rice,IR064,Rabi,400.0,50,600.0,100.0,52,37.0,80.0
206,Andhra Pradesh,2,Rice,IR064,Rabi,425.0,55,650.0,67.0,21,10.0,70.0
207,Andhra Pradesh,2,Rice,IR064,Rabi,425.0,55,650.0,93.0,41,28.0,80.0
208,Andhra Pradesh,2,Rice,IR064,Rabi,450.0,60,700.0,60.0,10,10.0,70.0
209,Andhra Pradesh,2,Rice,IR064,Rabi,450.0,60,700.0,86.0,30,18.0,80.0
210,Andhra Pradesh,6,Rice,Tellahamsa,Rabi,150.0,10,150.0,139.0,65,67.0,70.0
211,Andhra Pradesh,6,Rice,Tellahamsa,Rabi,150.0,10,150.0,155.0,73,75.0,80.0
212,Andhra Pradesh,6,Rice,Tellahamsa,Rabi,175.0,15,200.0,132.0,56,59.0,70.0
213,Andhra Pradesh,6,Rice,Tellahamsa,Rabi,175.0,15,200.0,148.0,64,67.0,80.0
214,Andhra Pradesh,6,Rice,Tellahamsa,Rabi,200.0,20,250.0,126.0,47,51.0,70.0
215,Andhra Pradesh,6,Rice,Tellahamsa,Rabi,200.0,20,250.0,142.0,55,59.0,80.0
216,Andhra Pradesh,6,Rice,Tellahamsa,Rabi,225.0,25,300.0,119.0,38,43.0,70.0
217,Andhra Pradesh,6,Rice,Tellahamsa,Rabi,225.0,25,300.0,135.0,46,51.0,80.0
218,Andhra Pradesh,6,Rice,Tellahamsa,Rabi,250.0,30,350.0,113.0,29,35.0,70.0
219,Andhra Pradesh,6,Rice,Tellahamsa,Rabi,250.0,30,350.0,129.0,37,43.0,80.0
220,Andhra Pradesh,6,Rice,Tellahamsa,Rabi,275.0,35,400.0,106.0,20,27.0,70.0
221,Andhra Pradesh,6,Rice,Tellahamsa,Rabi,275.0,35,400.0,122.0,28,35.0,80.0
222,Andhra Pradesh,6,Rice,Tellahamsa,Rabi,300.0,40,450.0,100.0,11,19.0,70.0
223,Andhra Pradesh,6,Rice,Tellahamsa,Rabi,300.0,40,450.0,116.0,19,27.0,80.0
224,Andhra Pradesh,6,Rice,Tellahamsa,Rabi,325.0,45,500.0,93.0,2,11.0,70.0
225,Andhra Pradesh,6,Rice,Tellahamsa,Rabi,325.0,45,500.0,109.0,10,19.0,80.0
226,Andhra Pradesh,6,Rice,Tellahamsa,Rabi,350.0,50,550.0,87.0,2,3.0,70.0
227,Andhra Pradesh,6,Rice,Tellahamsa,Rabi,350.0,50,550.0,103.0,1,11.0,80.0
228,Andhra Pradesh,6,Rice,Tellahamsa,Rabi,375.0,55,600.0,80.0,2,2.0,70.0
229,Andhra Pradesh,6,Rice,Tellahamsa,Rabi,375.0,55,600.0,96.0,2,3.0,80.0
230,Andhra Pradesh,6,Rice,Tellahamsa,Rabi,400.0,60,650.0,74.0,2,2.0,70.0
231,Andhra Pradesh,6,Rice,Tellahamsa,Rabi,400.0,60,650.0,90.0,2,2.0,80.0
232,Andhra Pradesh,4,Rice,Tellahamsa,Rabi,150.0,10,150.0,129.0,78,65.0,60.0
233,Andhra Pradesh,4,Rice,Tellahamsa,Rabi,150.0,10,150.0,165.0,95,80.0,70.0
234,Andhra Pradesh,4,Rice,Tellahamsa,Rabi,175.0,15,200.0,115.0,66,57.0,60.0
235,Andhra Pradesh,4,Rice,Tellahamsa,Rabi,175.0,15,200.0,151.0,83,72.0,70.0
236,Andhra Pradesh,4,Rice,Tellahamsa,Rabi,200.0,20,250.0,101.0,53,49.0,60.0
237,Andhra Pradesh,4,Rice,Tellahamsa,Rabi,200.0,20,250.0,137.0,71,64.0,70.0
238,Andhra Pradesh,4,Rice,Tellahamsa,Rabi,225.0,25,300.0,87.0,41,41.0,60.0
239,Andhra Pradesh,4,Rice,Tellahamsa,Rabi,225.0,25,300.0,122.0,58,56.0,70.0
240,Andhra Pradesh,4,Rice,Tellahamsa,Rabi,250.0,30,350.0,72.0,29,33.0,60.0
241,Andhra Pradesh,4,Rice,Tellahamsa,Rabi,250.0,30,350.0,108.0,46,48.0,70.0
242,Andhra Pradesh,4,Rice,Tellahamsa,Rabi,275.0,35,400.0,58.0,17,25.0,60.0
243,Andhra Pradesh,4,Rice,Tellahamsa,Rabi,275.0,35,400.0,94.0,34,40.0,70.0
244,Andhra Pradesh,4,Rice,Tellahamsa,Rabi,300.0,40,450.0,44.0,4,15.0,60.0
245,Andhra Pradesh,4,Rice,Tellahamsa,Rabi,300.0,40,450.0,80.0,21,32.0,70.0
246,Andhra Pradesh,4,Rice,Tellahamsa,Rabi,325.0,45,500.0,30.0,2,7.0,60.0
247,Andhra Pradesh,4,Rice,Tellahamsa,Rabi,325.0,45,500.0,65.0,9,24.0,70.0
248,Andhra Pradesh,4,Rice,Tellahamsa,Rabi,350.0,50,550.0,15.0,2,5.0,60.0
249,Andhra Pradesh,4,Rice,Tellahamsa,Rabi,350.0,50,550.0,51.0,9,16.0,70.0
250,Andhra Pradesh,4,Rice,Tellahamsa,Rabi,375.0,55,600.0,10.0,2,5.0,60.0
251,Andhra Pradesh,4,Rice,Tellahamsa,Rabi,375.0,55,600.0,37.0,9,8.0,70.0
252,Andhra Pradesh,4,Rice,Tellahamsa,Rabi,400.0,60,650.0,10.0,2,5.0,60.0
253,Andhra Pradesh,4,Rice,Tellahamsa,Rabi,400.0,60,650.0,23.0,9,8.0,70.0
254,Andhra Pradesh,7,Rice,Pothana,Rabi,150.0,10,150.0,143.0,111,64.0,55.0
255,Andhra Pradesh,7,Rice,Pothana,Rabi,150.0,10,150.0,163.0,124,79.0,60.0
256,Andhra Pradesh,7,Rice,Pothana,Rabi,175.0,15,200.0,130.0,93,60.0,55.0
257,Andhra Pradesh,7,Rice,Pothana,Rabi,175.0,15,200.0,151.0,106,75.0,60.0
