,Crop,YieldUnit,AvYieldUnitWeight(lb),AvMoisture%,AvN%(dry),AvP%(dry),AvK%(dry)
59,"Asparagus-White, for shoot or spear (immature)",lb of stem ,1,93,4.342857143,0.742857143,0
60,Avocado (all varieties),lb of fruit ,1,74.27,1.231247571,0.159347066,2.328021765
61,Avocado (Florida),lb of fruit ,1,79.73,1.255056734,0.192402565,2.407498767
62,Avocadoe (California),lb of fruit ,1,72.56,1.2303207,0.153061224,2.310495627
63,"Bahiagrass, for green chop",ton,2000,69.7,1.322666667,0.173333333,2.055
64,"Bahiagrass, for hay",ton,2000,9.83,1.52,0.2,0
65,"Bahiagrass, for hay (mature)",ton,2000,9.1,0.752,0,0
66,Banana,lb of fruit ,1,74.26,0.64024864,0.077700078,1.538461539
67,"Barley-2 row, for grain",bu,48,13.3,2.32,0.35,0.49
68,"Barley-2 row, for straw",lb straw/bu grain,72,9.2,0.688,0.08,2.11
69,"Barley-6 row, for grain (excluding Pacific Coast)",bu,48,11.72,2.109338703,0.419356823,0.537024609
70,"Barley-6 row, for grain (Pacific coast only)",bu,48,10.77,1.614054134,0.375691509,0.58
71,"Barley-6 row, for green chop (boot)",ton,2000,79.65,2.204648649,0.37018018,1.578288288
72,"Barley-6 row, for hay",ton,2000,11.28,1.418136564,0.260825991,1.489196035
73,"Barley-6 row, for straw",lb straw/bu grain,72,11.25,0.686047242,0.095555556,1.793888889
74,"Bean, for seed (dry)",cwt,100,11.4,4.224,0.54,2.69
75,"Bean-Faba, for pod with seeds (immature)",lb of fruit,1,81,4.715789474,0.5,1.315789474
76,"Bean-Kidney, for seed",cwt,100,10.75,3.985707865,0.443333333,1.066666667
77,"Bean-Kidney, for straw",lb straw/cwt grain,76.14,12.3,1.274971942,0.151967826,1.594927048
78,"Bean-Lima(baby), for pod with seeds",lb of fruit,1,69,3.664516129,0.564516129,0
79,"Bean-Lima, for pod with seeds",lb of fruit,1,71,3.475862069,0.5,0.896551724
80,"Bean-Lima, for seed",cwt,100,9.98,3.594547486,0.408058659,1.854860335
81,"Bean-Lima, for straw",ton,2000,10.95,1.198629256,0.14295174,1.142390572
82,"Bean-Navy, for seed",cwt,100,10.38,4.028666667,0.608333333,1.432777778
83,"Bean-Navy, for straw",lb straw/cwt grain,76.14,10.93,1.155962589,0.14530116,1.141593715
84,Bean-Snap for seed (dry),cwt,100,10,4,0,0
85,"Bean-Snap, for pod with seeds (immature)",lb of fruit,1,87.75,2.995652174,0.498695652,2.304347826
86,Beechnut (dry),lb of nut,1,6.6,1.062098501,0,0
87,"Beet-Red Table, for root",lb of root,1,87.46,2.145927273,0.323538462,2.457552389
88,"Beet-Red Table, for top",lb of leaf,1,87.95,3.686,0.44,6.26
89,"Bentgrass-Colonial, for hay",ton,2000,13.1,1.136,0.2,1.6
90,"Bermudagrass, for green chop",ton,2000,70.88,1.878,0.1925,1.9575
91,"Bermudagrass, for green chop (early to mid bloom)",ton,2000,68.33,1.735047619,0.21,1.735714286
92,"Bermudagrass, for green chop (full bloom to mature)",ton,2000,68.33,1.518380952,0.19,1.3
93,"Bermudagrass, for green chop (pre bloom)",ton,2000,75,2.75,0.23,2.13
94,"Bermudagrass, for hay",ton,2000,9.05,1.374556169,0.189986188,1.549765193
95,"Bermudagrass, for hay (early to mid bloom)",ton,2000,11.05,1.61,0,0
96,"Bermudagrass, for hay (full bloom to mature)",ton,2000,11.4,1.198,0,0
97,"Bermudagrass, for hay (pre bloom)",ton,2000,12.2,2.354,0,0
98,Blackberry,lb of fruit ,1,85.64,0.802228412,0.146239554,1.364902507
99,Blackeye pea or Cowpea or Southern Pea,cwt,100,85,3.52,0.52,1.466666667
100,Blueberry,lb of fruit ,1,84.61,0.696556205,0.064977258,0.578297596
101,"Bluegrass, for green chop",ton,2000,68.85,2.913907285,0.430463576,1.953642384
102,"Bluegrass, for green chop (early bloom)",ton,2000,64.3,2.352,0.29,2.14
103,"Bluegrass, for green chop (full bloom)",ton,2000,67.1,1.168,0.27,1.37
104,"Bluegrass, for green chop (mid bloom)",ton,2000,70.7,2,0.31,1.97
105,"Bluegrass, for hay",ton,2000,10.3,1.76,0.27,1.72
106,"Bluegrass, for hay (full bloom)",ton,2000,11.1,1.68,0,0
107,"Bluegrass-Kentucky, for green chop",ton,2000,70.47,2.603302428,0.396821192,1.967880795
108,"Bluegrass-Kentucky, for green chop (early bloom)",ton,2000,65.07,2.656,0.37,2.01
109,"Bluegrass-Kentucky, for green chop (full bloom)",ton,2000,65.35,2.115384615,0.282362637,2.005494506
110,"Bluegrass-Kentucky, for green chop (mature)",ton,2000,66.6,1.285,0,0
111,"Bluegrass-Kentucky, for green chop (mid bloom)",ton,2000,69.38,2.298424242,0.31,1.99
112,"Bluegrass-Kentucky, for hay",ton,2000,10.95,1.602331096,0.283003356,1.922002237
113,"Bluegrass-Kentucky, for hay (early bloom)",ton,2000,10,1.952,0,0
114,"Bluegrass-Kentucky, for hay (full bloom)",ton,2000,7.9,1.424,0.27,1.52
115,"Bluegrass-Kentucky, for hay (mature)",ton,2000,11.86,1.006403666,0.229773769,1.698825888
116,"Bluegrass-Kentucky, for hay (mid bloom)",ton,2000,13.45,1.723,0.24,0
117,"Bluestem, for green chop",ton,2000,60.35,1.346486804,0.146627566,1.348973607
118,"Bluestem, for green chop (early bloom)",ton,2000,65.8,1.68,0,0
119,"Bluestem, for green chop (full bloom)",ton,2000,29.6,0,0.13,0
120,"Bluestem, for green chop (mature)",ton,2000,42.52,1.009433071,0.126948819,0.51
121,"Bluestem, for hay",ton,2000,10.83,0.896267898,0,0
122,"Bluestem, for hay (early bloom)",ton,2000,20,1.4,0,0
123,"Bluestem, for hay (full bloom)",ton,2000,20,1.1,0,0
124,"Bluestem, for hay (mature)",ton,2000,20,0.7,0,0
125,"Brazilnut (dry, unblanched)",lb of nut,1,3.34,2.373680944,0.620732464,0.620732464
126,Breadfruit,lb of fruit ,1,70.65,0.58330494,0.102214651,1.669505963
127,"Broccoli, for stem",lb of stem ,1,54.9,3.376,0,0
128,"Broccoli, for stem and immature floral parts",lb of stem ,1,89.7,5.646666667,0.753333333,3.545
129,"Bromegrass, for green chop",ton,2000,64.4,2.144,0.285,2.19
130,"Bromegrass, for green chop (late bloom)",ton,2000,72.6,1.792,0,0
131,"Bromegrass, for green chop (mature)",ton,2000,44,1.024,0.26,1.25
132,"Bromegrass, for hay",ton,2000,8.93,1.530666667,0.16,1.64
133,"Bromegrass, for hay (early bloom)",ton,2000,7.1,1.736,0.325,1.91
134,"Bromegrass, for hay (mature)",ton,2000,8.63,1.061333333,0.086666667,1.9
135,"Bromegrass, for seed",cwt,100,55.8,1.552,0,0.93
136,"Bromegrass-Smooth, for green chop",ton,2000,67.6,2.176,0.32,3.16
137,"Bromegrass-Smooth, for green chop (full bloom)",ton,2000,71.3,1.885777778,0.28,2.33
138,"Bromegrass-Smooth, for green chop (mature)",ton,2000,45.5,0.836264151,0.19245283,0.34
139,"Bromegrass-Smooth, for green chop (mid bloom)",ton,2000,70,2.24,0,0
140,"Bromegrass-Smooth, for green chop (pre bloom)",ton,2000,74.7,3.024,0,0
141,"Bromegrass-Smooth, for hay",ton,2000,10.48,2.027342342,0.230990991,2.203761261
142,"Bromegrass-Smooth, for hay (full bloom)",ton,2000,10.63,1.661863014,0,1.43
143,"Bromegrass-Smooth, for hay (mature)",ton,2000,6.83,0.98,0.192765957,2.305
144,"Bromegrass-Smooth, for hay (mid bloom)",ton,2000,12.4,1.968,0.28,1.99
145,"Bromegrass-Smooth, for hay (late vegetative)",ton,2000,8.8,3.152,0.46,3.41
146,"Bromegrass-Smooth, for hay (pre bloom)",ton,2000,9.7,1.931455149,0,0
147,"Bromegrsss, for hay (late bloom)",ton,2000,12.9,1.192,0.35,2.32
148,"Brussel Sprouts, for bud",lb of fruit ,1,86.6,4.981333333,0.5125,3.25
149,"Buckwheat (ordinary cultivars), for grain",bu,48,12.2,1.937932723,0.360568182,0.510340909
150,"Buckwheat (ordinary cultivars), for straw",ton,2000,11.32,0.791639892,0.101286682,2.619334086
151,Butternut (dry),lb of nut,1,3.34,4.121663563,0.461411132,0.435547279
152,"Cabbage, for head (with outer leaves)",lb of leaf,1,90.8,3.454468085,0.354787234,2.727730496
153,"Cabbage, for head (without outer leaves)",lb of leaf,1,91.7,3.034245614,0.384912281,3.163157895
154,"Cabbage, for waste (outer leaves)",lb of leaf,1,85.75,2.664556962,0.21,0
155,Cabbage-Chinese,lb of leaf,1,93,3.085714286,0.485714286,2.928571429
156,Cabbage-Red,lb of leaf,1,92,2.8,0.525,2.375
157,Cabbage-White,lb of leaf,1,92,2.4,0.425,2.75
158,"Canarygrass-Reed, for green chop",ton,2000,75.8,2.424,0.33,3.64
159,"Canarygrass-Reed, for green chop (early bloom)",ton,2000,76.1,2.12,0.2,0
160,Cherry (sweet),lb of fruit ,1,81.38,1.073960499,0.098752599,1.164241164
161,Chestnut-Chinese,lb of fruit ,1,43.95,1.198929527,0.171275647,0.79750223
162,Chestnut-European,lb of fruit,1,48.65,0.754040896,0.181110029,1.008763389
163,Chestnut-Japanese,lb of fruit,1,61.41,0.932884167,0.186576833,0.852552475
164,"Chicory, for green chop",ton,2000,82.6,0.0352,0,0
165,Chive,lb of leaf,1,92,5.6,0.6375,3.125
166,"Clover + Timothy, for hay",ton,2000,11.1,1.488,0.17,1.81
167,"Canarygrass-Reed, for hay (vegetative)",ton,2000,8.25,2.64,0.24,0
168,"Canola, for seed",cwt,100,8.93,3.888736648,0.62,0.98
169,"Canola, for straw",lb straw/cwt grain,236,20.3,0.56,0,0
170,Carambola,lb of fruit ,1,90.92,0.95154185,0.176211454,1.795154185
171,Carissa,lb of fruit,1,84.17,0.505369551,0.044219836,1.642451042
172,"Carrot, for root",lb of root,1,88,1.510773109,0.328355742,2.430168067
173,"Canarygrass-Reed, for green chop (mature)",ton,2000,70,1.248,0.2,0
174,"Canarygrass-Reed, for green chop (mid bloom)",ton,2000,74.7,1.984,0.28,2.4
175,"Canarygrass-Reed, for green chop (vegetative)",ton,2000,76.25,2.528,0.4,3.31
176,"Canarygrass-Reed, for hay",ton,2000,10.97,1.701333333,0.283333333,2.99
177,"Canarygrass-Reed, for hay (early bloom)",ton,2000,8.1,2.184,0.47,2.62
178,"Canarygrass-Reed, for hay (mature)",ton,2000,7.9,1.424,0.145,0
179,"Canarygrass-Reed, for hay (mid bloom)",ton,2000,8.1,0,0.31,2.07
180,"Carrot, for top",lb of stem and leaf,1,83.83,2.349666667,0.1875,1.875
181,"Cauliflower, for immature inflorescence",lb of fruit ,1,90.88,4.42631579,0.664473684,3.22
182,Celery-Green,lb of stem ,1,94.55,2.424,0.66,4.8
183,Celery-Self-blanching,lb of stem ,1,96,2.8,0.675,4
184,"Chard-Swiss, for immature leaf",lb of leaf,1,92,3.6,0.575,3
185,Cherimoya,lb of fruit,1,73.5,0.78490566,0.150943396,0
186,"Cherry (sour, red)",lb of fruit ,1,86.13,1.153568854,0.10814708,1.247296323
187,"Clover-Alsike, for green chop",ton,2000,77.2,2.8876,0.285681818,2.7
188,"Clover-Alsike, for green chop (full bloom)",ton,2000,75.87,2.496063492,0.260777509,2.582372881
189,"Clover-Alsike, for green chop (mid bloom)",ton,2000,76.4,2.512,0.25,2.58
190,"Clover-Alsike, for hay",ton,2000,12.56,2.266845444,0.254679415,2.48116423
191,"Clover-Alsike, for hay (early bloom)",ton,2000,17.85,2.632,0,0
192,"Clover-Alsike, for hay (full bloom)",ton,2000,10.35,2.362247191,0.280898876,2.550561798
193,"Clover-Alsike, for hay (mid bloom)",ton,2000,11,2.416,0.28,2.55
194,"Clover-Crimson, for green chop",ton,2000,80.78,2.737579888,0.275356081,3.100862069
195,"Clover-Crimson, for green chop (late bloom)",ton,2000,84.1,2.816,0,0
196,"Clover-Crimson, for hay",ton,2000,11.75,2.654096389,0.224392347,2.759329609
197,"Clover-Crimson, for hay (early bloom)",ton,2000,15.1,3.776,0,0
198,"Clover-Crimson, for hay (late bloom)",ton,2000,13.9,2.624,0,0
199,"Clover-Red + Grass, for hay",ton,2000,11.6,2.272,0.23,1.42
200,"Clover-Red + Grass, for hay (full bloom)",ton,2000,11.3,2.528,0,0
201,"Clover-Red + Grass, for hay (mature)",ton,2000,8.6,1.776,0.25,0
202,"Clover-Red + Grass, for hay (mid bloom)",ton,2000,10.8,2.656,0.23,1.59
203,"Clover-Red + Timothy, for hay",ton,2000,9.6,0,0.17,1.52
204,"Clover-Red, for green chop",ton,2000,77.5,2.921061225,0.29372449,2.401632653
205,"Clover-Red, for green chop (early bloom)",ton,2000,80.15,3.104,0.38,2.49
206,"Clover-Red, for green chop (full bloom)",ton,2000,73.58,2.374716484,0.284917582,1.964505494
207,"Clover-Red, for green chop (late vegetative)",ton,2000,75,3.4,0,0
208,"Clover-Red, for green chop (mid bloom)",ton,2000,74.27,2.424986301,0.284863014,1.98
209,"Clover-Red, for hay",ton,2000,13.95,2.507601359,0.261625142,1.887157418
210,"Clover-Red, for hay (early bloom)",ton,2000,12.53,2.394049187,0.309455165,1.909551646
211,"Clover-Red, for hay (full bloom)",ton,2000,13.55,2.42703689,0.249455165,1.859701097
212,"Clover-Red, for hay (late vegetative)",ton,2000,15,3.35,0,0
213,"Clover-Red, for hay (mature)",ton,2000,8.8,1.936,0.21,1.7
214,"Clover-Red, for hay (mid bloom)",ton,2000,11.7,2.458049187,0.279455165,1.553034431
215,"Clover-Red, for seed",cwt,100,12.23,5.892571429,0.61,0
216,"Clover-White, for green chop",ton,2000,81.9,4.255685393,0.473904494,2.221207865
217,"Clover-White, for green chop (full bloom)",ton,2000,82.1,4.528,0.44,0
218,"Clover-White, for hay",ton,2000,9.73,3.089409091,0.352045455,2.25
219,"Clover-White, for hay (full bloom)",ton,2000,7.6,3.216,0,0
220,"Clover-White, for hay (late bloom)",ton,2000,12.4,2.768,0,0
221,"Clover-White, for hay (mature)",ton,2000,7.8,2.256,0,0
222,"Clover-White-Ladino type + Grass, for green chop",ton,2000,80,2.8,0.4,0
223,"Clover-White-Ladino type + Grass, for green chop (early bloom)",ton,2000,80,2.448,0,0
224,"Clover-White-Ladino type + Grass, for hay",ton,2000,11.25,2.918278596,0.227587769,1.962627407
225,"Clover-White-Ladino type + Grass, for hay (mature)",ton,2000,8.5,1.808,0.22,1.75
226,"Clover-White-Ladino type + Timonth, for silage",ton,2000,70.6,3.168,0.2,2.22
227,"Clover-White-Ladino type, for green chop",ton,2000,80.94,3.953580723,0.410421687,1.94936747
228,"Clover-White-Ladino type, for green chop (early bloom)",ton,2000,64.6,0,0.31,3.17
229,"Clover-White-Ladino type, for hay",ton,2000,10.82,3.324152957,0.323149297,2.431145251
230,"Clover-White-Ladino type, for hay (early bloom)",ton,2000,7.57,3.52959276,0.31,0
231,"Clover-White-Ladino type, for hay (mature)",ton,2000,8.9,2.528,0.25,2.16
232,"Coconut, for meat",lb of fruit ,1,46.99,1.005093379,0.213167327,0.671571402
233,"Coconut, for milk",lb of fruit ,1,67.62,1.131562693,0.308832613,0.812229771
234,"Corn-Field, for grain (shelled, yellow dent, grade #1)",bu,56,13.52,1.637313016,0.312586636,0.344444444
235,"Corn-Field, for silage (dough stage)",ton,2000,71.2,1.2356,0.185,1.04
236,"Corn-Field, for silage (mature)",ton,2000,70.08,1.295144928,0.378405797,1.035652174
237,"Corn-Field, for silage (milk stage)",ton,2000,76.87,1.418666667,0.24,1.465
238,"Corn-Field, for stover (yield less than 95 bu/acre, mature, without ear, dry)",lb stover/bu grain,56,13.3,0.983381898,0.099834437,1.503647903
239,"Corn-Field, for stover (yield more than 95 bu/acre, mature, without ear, dry)",lb stover/bu grain,70,13.3,0.983381898,0.099834437,1.503647903
240,"Corn-Popcorn, for grain",bu,50,10.1,2.047111111,0.328055556,0
241,"Corn-Popcorn, for stover (mature, without ear, dry)",lb stover/bu grain,56,12.73,0.969842531,0.099779249,1.521530537
242,"Corn-Sweet, for ears with husk (immature)",lb of fruit ,1,64.85,1.611439153,0,0
243,"Corn-Sweet, for grain (dry)",lb of caryopsis,1,9.07,2.005333333,0.383333333,0
244,"Corn-Sweet, for stover (without ear and husk, immature)",ton,2000,76.54,1.202660465,0,0
245,"Corn-Sweet, for stover (without ear and husk, mature, very dry)",lb stover/bu grain,56,9.4,1.037527594,0.099337748,1.644591612
246,"Cotton, for lint without seed or cotton lint",lb of seed,1,9,0.196,0,0
247,"Cotton, for seed with lint or seed cotton",lb of seed and lint,1,7.8,3.296,0.41,0.49
248,"Cotton, for seed without lint",lb of seed,1,8.38,3.770842503,0.734516361,1.179137001
249,"Cotton, for stalks (dry)",lb straw/lb seed cotton,1,7.7,0.985915493,0,0
250,"Cowpea, for hay",ton,2000,9.6,2.966387597,0.323427464,2.39
251,"Cowpea, for seed",lb of seed,1,10.65,4.134561798,0.526713483,1.327668539
252,"Cowpea, for straw",lb straw/lb seed,1.35,8.94,1.126869749,0,0
253,Crabapple,lb of fruit,1,78.94,0.303893637,0.071225071,0.921177588
254,Cranberry,lb of fruit ,1,86.54,0.46359584,0.066864785,0.527488856
255,"Cucumber, for fruit",lb of fruit ,1,95.5,2.5,0.525,4.25
256,Cup plant,ton,2000,71,3,0.05,3
257,Currant-European black,lb of fruit ,1,81.96,1.241685144,0.327050998,1.784922395
258,Currants-Red & White,lb of fruit ,1,83.95,1.395638629,0.274143302,1.713395639
259,Custard-Apple,lb of fruit,1,71.5,0.954385965,0.073684211,1.340350877
260,"Date palm, for fruit",lb of fruit ,1,22.5,0.406709677,0.051612903,0.842580645
261,"Eggplant, for fruit",lb of fruit ,1,93,2.514285714,0.313571429,3
262,Elderberry,lb of fruit ,1,79.8,0.522772277,0.193069307,1.386138614
263,"Elephantgrass, for silage",ton,2000,74.7,0.768,0.31,0
264,"Elephantgrass, for silage (mature)",ton,2000,70.45,0.682547264,0.3,3.18
265,"Elephantgrass, for silage (vegetative)",ton,2000,79.8,0.888174204,0.44,2.32
266,"Endive (Chicory), for immature leaf",lb of leaf,1,95,4.16,0.45,5.6
267,"Escarole, for leaf",lb of leaf,1,94,3.2,0.233333333,4
268,"Fescue, for green chop",ton,2000,64,1.161777778,0.25,0
269,"Fescue, for green chop (early bloom)",ton,2000,71,2.36,0.37,1.92
270,"Fescue, for green chop (early vegetative)",ton,2000,73.9,2.752,0.4,2.13
271,"Fescue, for green chop (late bloom)",ton,2000,64,1.536,0,0
272,"Fescue, for green chop (mature)",ton,2000,64,1.072,0,0
273,"Fescue, for green chop (over ripe)",ton,2000,64,0.608,0.11,0.9
274,"Fescue, for hay",ton,2000,10,1.511111111,0,0
275,"Fescue, for hay (early bloom)",ton,2000,11.95,1.776,0.24,1.7
276,"Fescue, for hay (early vegetative)",ton,2000,9,1.984,0.36,2.3
277,"Fescue, for hay (late vegetative)",ton,2000,7.3,2.896,0.34,2
278,"Fescue-Meadow, for hay",ton,2000,11.6,1.194570136,0,0
279,"Fescue-Tall, for green chop",ton,2000,70.5,2.336,0.37,0
280,"Fescue-Tall, for green chop (early bloom)",ton,2000,71.4,2.672,0.37,0
281,"Fescue-Tall, for green chop (early bloom) (Pacific coast)",ton,2000,71.4,2.176,0,0
282,"Fescue-Tall, for green chop (early vegetative)",ton,2000,73.2,3.376,0.39,4.48
283,"Fescue-Tall, for green chop (full bloom) (Pacific coast)",ton,2000,75,1.44,0,0
284,"Fescue-Tall, for green chop (late vegetative)",ton,2000,73.7,3.218,0.39,0
285,"Fescue-Tall, for green chop (late vegetative) (Pacific coast)",ton,2000,76.1,2.896,0,0
286,"Fescue-Tall, for green chop (mature)",ton,2000,75,1.1,0.25,1.82
287,"Fescue-Tall, for green chop (mature) (Pacific coast)",ton,2000,75,1.072,0,0
288,"Fescue-Tall, for green chop (mid bloom)",ton,2000,75,1.7,0.29,2.06
289,"Fescue-Tall, for green chop (mid bloom) (Pacific coast)",ton,2000,75,1.68,0,0
290,"Fescue-Tall, for green chop (Pacific coast)",ton,2000,70.5,1.856,0,0
291,"Fescue-Tall, for hay (early bloom)",ton,2000,8,3.144,0.26,1.96
292,"Fescue-Tall, for hay (early vegetative)",ton,2000,7.9,3.248,0.51,2.36
293,"Fescue-Tall, for hay (full bloom)",ton,2000,8.4,2.312,0.32,2.36
294,"Fescue-Tall, for hay (full bloom) (Pacific coast)",ton,2000,8.4,0.752,0,0
295,"Fescue-Tall, for hay (late vegetative)",ton,2000,15,3.062,0,0
296,"Fescue-Tall, for hay (late vegetative) (Pacific coast)",ton,2000,4.4,2.144,0.24,0
297,"Fescue-Tall, for hay (mature)",ton,2000,12.5,1.714666667,0.3,1.96
298,"Fescue-Tall, for hay (mid bloom)",ton,2000,11.4,2.174666667,0.29,2.06
299,"Fescue-Tall, for hay (over ripe)",ton,2000,8,1.448,0,0
300,"Fescue-Tall, for hay (Pacific coast)",ton,2000,11,1.392,0.24,0
301,Fig,lb of fruit ,1,79.11,0.57443753,0.067017712,1.110579225
302,"Filbert or Hazelnut, dry",lb of nut,1,5.42,2.205963206,0.329879467,0.470501163
303,"Flax, for seed",bu,56,6.14,3.703563326,0.566092751,0.844072495
304,"Flax, for straw",lb straw/bu grain,80,6.94,1.112342909,0.084439655,1.741422414
305,"Gamagrass-Eastern, for hay (inflorescence to anthesis, cut 1)",ton,2000,10.85,1.996,0.265,2.02
306,"Gamagrass-Eastern, for hay (seed ripening, cut 1)",ton,2000,10.85,1.685,0.265,2.02
307,"Gamagrass-Eastern, for hay (vegetative, cut>1)",ton,2000,10.85,1.69212,0.395,2.64
308,"Gamagrass-Eastern, for hay (boot, cut 1)",ton,2000,10.85,2.28,0.265,2.02
309,"Gamagrass-Eastern, for hay (maturity, cut 1)",ton,2000,10.85,1.51,0.095,3.06
310,Garlic,lb of fruit ,1,61,2.625641026,0.44,1.384615385
311,Ginkgo Nut or Maidenhair Tree Nut,lb of fruit,1,55.2,1.542857143,0.276785714,1.138392857
312,Gooseberry,lb of fruit ,1,87.87,1.16075845,0.222588623,1.632316571
313,Grape-American type,lb of fruit,1,80.65,0.569518717,0.053475936,1.021390374
314,Grape-European type,lb of fruit,1,80.28,0.571604938,0.066872428,0.951646091
315,Grapefruit-Pink & Red (all areas),lb of fruit ,1,91.38,1.020881671,0.104408353,1.496519722
